,Lemmas,PoS,Sentiment
0,king,VBG,Disgust/Fear
1,downloaded,VBN,Disgust/Fear
2,preface,VBP,Disgust/Fear
3,pdf,VB,Disgust/Fear
4,revised,VBN,Disgust/Fear
5,called,VBD,Disgust/Fear
6,copy,VB,Disgust/Fear
7,publish,VB,Disgust/Fear
8,placed,VBN,Disgust/Fear
9,wa,VBD,Disgust/Fear
10,created,VBN,Happy
11,converted,VBD,Disgust/Fear
12,using,VBG,Disgust/Fear
13,were,VBD,Disgust/Fear
14,made,VBN,Disgust/Fear
15,consisted,VBD,Disgust/Fear
16,been,VBN,Disgust/Fear
17,wrapped,VBN,Disgust/Fear
18,fit,VB,Happy
19,switch,VB,Disgust/Fear
20,clicking,VBG,Disgust/Fear
21,guiding,VBG,Disgust/Fear
22,be,VB,Disgust/Fear
23,are,VBP,Disgust/Fear
24,encouraged,VBN,Happy
25,link,VB,Disgust/Fear
26,witnessing,VBG,Disgust/Fear
27,spreading,VBG,Disgust/Fear
28,making,VBG,Disgust/Fear
29,discover,VB,Disgust/Fear
30,have,VB,Disgust/Fear
31,www.holybooks.com,VBP,Disgust/Fear
32,have,VBP,Disgust/Fear
33,culminated,VBN,Disgust/Fear
34,promote,VB,Happy
35,devising,VBG,Disgust/Fear
36,revising,VBG,Disgust/Fear
37,hath,VBD,Disgust/Fear
38,laboured,VBN,Disgust/Fear
39,welcomed,VBN,Happy
40,left,VBD,Disgust/Fear
41,enter,VB,Disgust/Fear
42,do,VBP,Disgust/Fear
43,find,VB,Disgust/Fear
44,make,VB,Disgust/Fear
45,misconstrued,VBN,Disgust/Fear
46,condemned,VBN,Sad/Angry
47,granted,VBN,Happy
48,savoured,VBD,Disgust/Fear
49,endured,VBD,Disgust/Fear
50,think,VB,Disgust/Fear
51,speak,VBP,Disgust/Fear
52,say,VBP,Disgust/Fear
53,lift,VB,Disgust/Fear
54,move,VB,Disgust/Fear
55,distinguished,VBN,Disgust/Fear
56,lead,VBP,Disgust/Fear
57,bridled,VBN,Disgust/Fear
58,restrained,VBN,Disgust/Fear
59,doing,VBG,Disgust/Fear
60,enabled,VBN,Disgust/Fear
61,inform,VB,Disgust/Fear
62,reform,VB,Disgust/Fear
63,attained,VBN,Disgust/Fear
64,being,VBG,Disgust/Fear
65,brought,VBN,Disgust/Fear
66,sooner,VBP,Disgust/Fear
67,provided,VBN,Disgust/Fear
68,holden,VBN,Disgust/Fear
69,kill,VBP,Sad/Angry
70,born,VBN,Disgust/Fear
71,hang,VBP,Disgust/Fear
72,receive,VB,Disgust/Fear
73,speak,VB,Disgust/Fear
74,spurn,VB,Disgust/Fear
75,learned,VBN,Disgust/Fear
76,know,VBP,Disgust/Fear
77,seeking,VBG,Disgust/Fear
78,reduce,VB,Disgust/Fear
79,god,VB,Happy
80,motion,VB,Disgust/Fear
81,counted,VBN,Disgust/Fear
82,give,VB,Disgust/Fear
83,refined,VBD,Disgust/Fear
84,bare,VBP,Disgust/Fear
85,gave,VBD,Disgust/Fear
86,writing,VBG,Disgust/Fear
87,remain,VB,Disgust/Fear
88,had,VBD,Disgust/Fear
89,seen,VBN,Disgust/Fear
90,come,VB,Disgust/Fear
91,furnished,VBN,Disgust/Fear
92,esteemed,VBN,Happy
93,devised,VBN,Disgust/Fear
94,endowed,VBN,Disgust/Fear
95,heard,VBN,Disgust/Fear
96,saying,VBG,Disgust/Fear
97,poured,VBD,Disgust/Fear
98,subject,VBP,Disgust/Fear
99,escape,VB,Happy
100,privileged,VBN,Happy
101,deceived,VBN,Sad/Angry
102,charged,VBD,Sad/Angry
103,strike,VB,Sad/Angry
104,commanded,VBD,Disgust/Fear
105,fight,VB,Sad/Angry
106,save,VB,Happy
107,compared,VBN,Disgust/Fear
108,did,VBD,Disgust/Fear
109,bringing,VBG,Disgust/Fear
110,scorned,VBN,Disgust/Fear
111,scoffed,VBN,Disgust/Fear
112,built,VBD,Disgust/Fear
113,liked,VBD,Happy
114,doubt,VBP,Sad/Angry
115,lay,VB,Disgust/Fear
116,call,VB,Disgust/Fear
117,easing,VBG,Happy
118,charged,VBN,Sad/Angry
119,troubled,VBD,Sad/Angry
120,raise,VBP,Disgust/Fear
121,wish,VB,Happy
122,built,VBN,Disgust/Fear
123,please,VB,Happy
124,please,VBP,Happy
125,seek,VB,Disgust/Fear
126,approve,VB,Disgust/Fear
127,descend,VB,Disgust/Fear
128,do,VB,Disgust/Fear
129,conserving,VBG,Disgust/Fear
130,corrected,VBD,Disgust/Fear
131,ordered,VBD,Disgust/Fear
132,according,VBG,Disgust/Fear
133,imputed,VBN,Disgust/Fear
134,procured,VBD,Disgust/Fear
135,christened,VBD,Disgust/Fear
136,professed,VBD,Disgust/Fear
137,allowed,VBD,Disgust/Fear
138,strengthening,VBG,Happy
139,providing,VBG,Disgust/Fear
140,got,VBD,Disgust/Fear
141,say,VB,Disgust/Fear
142,need,VBN,Disgust/Fear
143,bare,VB,Disgust/Fear
144,enrich,VB,Disgust/Fear
145,see,VB,Disgust/Fear
146,judged,VBN,Disgust/Fear
147,excelled,VBD,Happy
148,showed,VBD,Disgust/Fear
149,provoked,VBN,Sad/Angry
150,giving,VBG,Happy
151,cutting,VBG,Sad/Angry
152,digesting,VBG,Disgust/Fear
153,blotted,VBN,Disgust/Fear
154,bring,VB,Disgust/Fear
155,rendered,VBN,Disgust/Fear
156,died,VBD,Sad/Angry
157,buried,VBN,Disgust/Fear
158,taketh,VBP,Disgust/Fear
159,risen,VBN,Disgust/Fear
160,done,VBN,Disgust/Fear
161,ecc,VBP,Disgust/Fear
